meal_1_idx,meal_2_idx,meal_3_idx,meal_4_idx,meal_5_idx,meal_6_idx,meal_7_idx,meal_8_idx,meal_9_idx,meal_10_idx,meal_11_idx,meal_12_idx,meal_13_idx,meal_14_idx,meal_15_idx,meal_16_idx,meal_17_idx,meal_18_idx,meal_19_idx,meal_20_idx,meal_21_idx,meal_22_idx,meal_23_idx,meal_24_idx,meal_25_idx,meal_26_idx,meal_27_idx,meal_28_idx,meal_29_idx,meal_30_idx,meal_31_idx,meal_32_idx,meal_33_idx,meal_34_idx,meal_35_idx,meal_36_idx,meal_37_idx,meal_38_idx,meal_39_idx,meal_40_idx,meal_41_idx,meal_42_idx,meal_43_idx,meal_44_idx,meal_45_idx,meal_46_idx,meal_47_idx,meal_48_idx,meal_49_idx,meal_50_idx,meal_51_idx,meal_52_idx,meal_53_idx,meal_54_idx,meal_55_idx,meal_56_idx,meal_57_idx,meal_58_idx,meal_59_idx,meal_60_idx,meal_61_idx,meal_62_idx
cireng,nasi_uduk,bubur,nasi telur,sate,roti,nasi telur,mi instan ,capcay,mieayam,mieayam,nasigoreng,bakso,soto,cireng,mieayam,nasigoreng,salad,bubur,buah,roti,mieayam,nasi_uduk,bakso,nasipadang,soto,buah,warteg,seblak,capcay,capcay,nasi_uduk,ayamgeprek,buah,mi instan ,mieayam,roti,buah,seblak,nasigoreng,mieayam,mi instan ,mieayam,cireng,nasipadang,nasipadang,mi instan ,warteg,warteg,nasigoreng,bubur,bubur,gorengan,mi instan ,sate,nasigoreng,soto,ayamgeprek,ayamgeprek,sate,capcay,cireng
mieayam,soto,nasi telur,soto,bakso,soto,nasigoreng,nasi telur,roti,gorengan,mieayam,sate,ayamgeprek,buah,salad,salad,salad,soto,roti,gorengan,ayamgeprek,buah,nasi_uduk,gorengan,cireng,nasipadang,nasi_uduk,cireng,roti,nasi telur,nasi telur,mi instan ,cireng,mieayam,buah,sate,warteg,roti,mieayam,sate,capcay,cireng,soto,roti,mi instan ,roti,sate,mi instan ,nasi_uduk,mieayam,bakso,warteg,seblak,bubur,nasi_uduk,seblak,salad,capcay,buah,buah,seblak,sate
warteg,mi instan ,sate,ayamgeprek,ayamgeprek,capcay,bubur,warteg,ayamgeprek,sate,bakso,mi instan ,warteg,nasi_uduk,nasi_uduk,mi instan ,mieayam,warteg,nasipadang,nasi_uduk,nasi_uduk,bakso,nasi telur,capcay,sate,cireng,nasi_uduk,soto,soto,gorengan,seblak,soto,buah,soto,cireng,warteg,cireng,soto,buah,seblak,mi instan ,nasi telur,nasi_uduk,nasi telur,nasigoreng,warteg,gorengan,nasigoreng,bubur,nasigoreng,warteg,mi instan ,cireng,mieayam,mieayam,mieayam,bakso,bakso,salad,bubur,roti,nasi telur
capcay,gorengan,nasi_uduk,nasigoreng,buah,mieayam,nasi_uduk,nasi telur,nasipadang,nasipadang,mi instan ,seblak,warteg,soto,ayamgeprek,seblak,bubur,bubur,mi instan ,bakso,soto,sate,buah,nasipadang,gorengan,sate,cireng,seblak,bubur,capcay,seblak,nasigoreng,warteg,salad,bubur,warteg,sate,salad,sate,bakso,salad,nasi_uduk,cireng,mieayam,salad,salad,warteg,nasi_uduk,buah,mieayam,gorengan,cireng,roti,nasi_uduk,bubur,mi instan ,salad,bakso,bubur,bubur,nasi telur,soto
warteg,nasigoreng,sate,bakso,cireng,bubur,nasi_uduk,soto,cireng,warteg,buah,ayamgeprek,bakso,nasigoreng,gorengan,seblak,mi instan ,mi instan ,buah,cireng,nasi telur,buah,bakso,ayamgeprek,nasi telur,nasi_uduk,nasipadang,nasi_uduk,salad,sate,roti,cireng,gorengan,warteg,cireng,ayamgeprek,ayamgeprek,mieayam,roti,seblak,cireng,buah,salad,warteg,buah,warteg,salad,salad,capcay,salad,nasigoreng,nasi_uduk,capcay,mieayam,nasigoreng,soto,cireng,salad,sate,soto,roti,cireng
seblak,bubur,capcay,soto,mi instan ,soto,gorengan,nasipadang,sate,nasi telur,cireng,gorengan,soto,bubur,nasipadang,ayamgeprek,bakso,soto,nasi_uduk,nasi_uduk,nasipadang,buah,mieayam,sate,nasi telur,warteg,cireng,salad,nasigoreng,ayamgeprek,nasi_uduk,nasigoreng,warteg,bakso,capcay,mi instan ,mieayam,roti,nasi telur,nasi telur,sate,salad,salad,nasigoreng,mi instan ,roti,gorengan,nasipadang,bakso,gorengan,capcay,seblak,bakso,nasi_uduk,mi instan ,salad,sate,nasigoreng,ayamgeprek,warteg,nasigoreng,gorengan
nasigoreng,seblak,sate,buah,warteg,buah,gorengan,gorengan,warteg,gorengan,soto,bakso,bakso,mi instan ,ayamgeprek,gorengan,cireng,roti,seblak,ayamgeprek,nasi_uduk,gorengan,salad,roti,bubur,mi instan ,buah,nasipadang,buah,gorengan,seblak,salad,soto,capcay,bubur,mi instan ,ayamgeprek,salad,nasipadang,bubur,nasi_uduk,buah,capcay,cireng,gorengan,ayamgeprek,bubur,soto,sate,nasi_uduk,gorengan,buah,nasipadang,sate,nasi telur,ayamgeprek,mi instan ,mieayam,bakso,cireng,mieayam,gorengan
salad,mieayam,roti,sate,capcay,ayamgeprek,cireng,mieayam,sate,nasipadang,nasi_uduk,roti,bubur,soto,gorengan,ayamgeprek,mi instan ,mi instan ,nasi telur,bakso,soto,bubur,buah,gorengan,nasigoreng,salad,roti,sate,sate,bakso,warteg,ayamgeprek,ayamgeprek,seblak,nasi telur,salad,nasi telur,sate,gorengan,nasi telur,ayamgeprek,gorengan,nasigoreng,salad,capcay,sate,sate,capcay,soto,salad,ayamgeprek,bakso,roti,mi instan ,salad,cireng,nasi_uduk,seblak,nasi_uduk,soto,capcay,mi instan 
nasipadang,nasigoreng,salad,bubur,nasipadang,cireng,mi instan ,nasi telur,bubur,capcay,seblak,soto,soto,warteg,sate,bubur,mieayam,salad,soto,gorengan,bakso,mieayam,capcay,cireng,ayamgeprek,bubur,cireng,buah,bakso,mi instan ,mi instan ,warteg,nasipadang,bubur,nasigoreng,ayamgeprek,nasigoreng,soto,soto,bubur,nasigoreng,mi instan ,cireng,sate,roti,ayamgeprek,nasi_uduk,sate,soto,bakso,ayamgeprek,mieayam,nasigoreng,nasipadang,bubur,nasi_uduk,nasi_uduk,nasipadang,nasi_uduk,mi instan ,capcay,warteg
nasigoreng,salad,bakso,mi instan ,ayamgeprek,nasipadang,nasigoreng,nasigoreng,buah,salad,salad,mi instan ,soto,bakso,warteg,gorengan,sate,roti,mieayam,seblak,nasipadang,sate,nasi telur,nasi_uduk,nasi telur,mieayam,mi instan ,salad,bakso,bakso,capcay,buah,nasi_uduk,ayamgeprek,nasi telur,seblak,bakso,gorengan,bubur,buah,nasipadang,mieayam,buah,nasigoreng,bakso,capcay,soto,ayamgeprek,seblak,salad,sate,capcay,nasigoreng,mi instan ,roti,mi instan ,ayamgeprek,nasigoreng,cireng,bakso,mi instan ,roti
mi instan ,nasi_uduk,nasigoreng,ayamgeprek,mieayam,mieayam,seblak,salad,ayamgeprek,seblak,bubur,seblak,sate,sate,roti,mi instan ,nasi_uduk,seblak,nasi telur,gorengan,capcay,roti,seblak,mieayam,ayamgeprek,nasi telur,soto,nasi telur,nasi telur,mi instan ,cireng,nasi telur,gorengan,roti,buah,bakso,seblak,gorengan,capcay,sate,buah,cireng,salad,warteg,gorengan,nasipadang,bubur,mieayam,nasi telur,bubur,mi instan ,salad,sate,nasi telur,warteg,gorengan,warteg,nasipadang,bakso,sate,nasi telur,cireng
salad,nasi_uduk,seblak,roti,salad,mi instan ,gorengan,seblak,cireng,capcay,mieayam,mi instan ,mieayam,nasi_uduk,nasipadang,warteg,capcay,roti,ayamgeprek,salad,salad,nasi_uduk,gorengan,bubur,roti,sate,cireng,nasi telur,gorengan,bakso,nasipadang,roti,nasipadang,bubur,nasigoreng,bubur,nasigoreng,gorengan,salad,soto,bubur,buah,capcay,nasi_uduk,salad,bakso,mi instan ,ayamgeprek,mi instan ,bakso,seblak,salad,nasi telur,nasi_uduk,nasigoreng,warteg,nasi telur,soto,soto,soto,bubur,seblak
